chapter,idx,character,appearances,descriptors,agent_w,patient_w,poss_w,gender,Name,Race/Ethnicity,Age,Description
1,0,UNK,544,"amazed,surprised,cool,uncomfortable,fine,amazed,surprised,cool,uncomfortable,fine","come,’m,belong,squeeze,follow,cross,heard,know,feeling,sip","know,kill,put,kill,babysitting,use,texts,notice,swallow,asks","drink,ponytail,nana,drink,parents,sneakers,hoodie,dad,Jordans,nose",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
1,1,Khalil,218,"fine,relevant,busy,fine,busy,relevant,busy","had,looks,gives,says,said,’m,shrugs,likes,watching,shakes","push,flip,tell,seen,take,help,smack,push,flip,tell","grandma,cup,dimples,porch,momma,lips,head,everything,drink,lips",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
1,4,Seven,11,,,,,she/her,Seven Carter,Black,Adolescent,Starr's younger brother
1,10,Chris,10,,"texts,did,texts,did",,,he/him/his,Chris,White,Adolescent,Starr's boyfriend
1,6,Hailey,8,,"’m,’m","pulling,pulling","life,life",he/him/his,Hailey,White,Adolescent,White friend from private school
1,5,DeVante,7,,,,,she/her,DeVante,Black,Adult,Member of the King Lords gang
1,2,Daddy,6,,"used,played,said,used,played,said",,,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
1,7,King,2,,,,,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
2,1,Khalil,122,,"cusses,turns,turns,watches,cranks,breaks,do,said,’s,midthirties","pull,pins,pats,pats,tells,keep,pull,pins,pats,pats","breath,mirror,wallet,movements,hands,lip,papers,license,’s,hands",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
2,0,UNK,113,"young,young,young,young","get,grown,doubted,knew,know,needed,hope,blink,remember,ask","told,stopped,tells,raised,told,told,stopped,tells,raised,told","parents,mom,chest,back,heart,head,voice,hands,parents,gut",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
2,2,Daddy,8,,"has,needed,said,has,needed,said","told,told","instructions,instructions",they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
2,3,Momma,2,,"fussed,told,fussed,told",,,he/him/his,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
3,0,UNK,622,"floors,person,floors,person","need,feel,feel,try,breathe,gasp,say,manage,manage,open","put,spotlight,guides,throw,helps,carries,wake,reminds,pulling,got","parents,mouth,back,stomach,hands,sneakers,mouth,stomach,hair,back",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
3,2,Daddy,261,"person,person,dot","says,helps,wraps,guides,drives,carries,brushes,said,talking,gets","moved,give,Thank,hire,begged,brings,tell,told,tell,tell","arm,Tahoe,face,jaw,bulge,head,blood,house,eyelashes,eyebrows",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
3,3,Momma,135,"okay,okay","wraps,rubs,speaks,wearing,did,wipes,glances,hops,runs,holds","gone,beat,gone,moved,run,beat","arms,scrubs,eyes,fingers,spot,instinct,voice,throat,arms,scrubs",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
3,1,Khalil,134,,"breathe,lying,did,have,stands,sets,gives,wears,wears,says","killed,tell,pulling,tells,told,saw,blink,killed,tell,pulling","body,eyes,mouth,car,hairbrush,face,hands,shoulder,blood,blood",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
3,4,Seven,83,"okay,okay","talking,smirks,look,says,beat,come,changed,letting,put,know","put,calling,touch,Thank,calling,claim,touch","dreads,shoulder,hands,daughters,hands,sister,dreads,shoulder,brother,momma",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
3,7,King,74,,"spent,joined,became,took,giving,says,heard,know,chuckles,got","named,told,locked,named,told,locked","breath,goddaughter,beard,money,momma,teeth,breath,goddaughter,beard,money",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
3,10,Chris,25,"friend,white,dot,friend,white","visit,get,’s,treating,visit,get",,"calls,texts,calls,texts",he/him/his,Chris,White,Adolescent,Starr's boyfriend
3,9,Uncle Carlos,22,"uneasy,uneasy","claimed,needed,walked,pointed,claimed,needed,beat,come,changed,put",put,"house,house,hands",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
3,6,Hailey,10,,"come,spending,come,spending","call,call","dad,dad",she/her,Hailey,White,Adolescent,White friend from private school
3,5,DeVante,8,"boyfriend,boyfriend","came,asked,came,asked",,,he/him/his,DeVante,Black,Adult,Member of the King Lords gang
4,0,UNK,365,"awake,witness,baby,problem,friend,father,about,awake,witness,baby","force,tell,hang,keep,try,work,back,wake,suck,rub","convince,begs,drag,ask,hurt,tuck,tells,joins,born,named","lips,voice,clock,shorts,skin,bed,face,throat,feet,throat",she/her,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
4,9,Uncle Carlos,156,"cop,protective,daddy,cop,protective,daddy","says,says,’s,says,heard,says,asks,keep,asks,know","assure,trust,ask,begged,Thank,Thank,walks,ask,assure,trust","name,house,mom,face,face,promises,judgment,face,house,mom",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
4,3,Momma,155,"thing,friends,thing,friends","say,saw,need,says,says,says,says,glances,says,looks","bring,text,text,find,put,took,saw,have,pay,text","friends,complexion,robe,year,supporters,graduation,daughter,job,friends,complexion",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
4,1,Khalil,152,"dealer,threat,dealer,dealer,more,thug,threat,dealer,dealer,more","begs,felt,’s,believe,thinking,thought,assumed,get,have,pushed","know,killed,tell,see,told,killed,tell,see,told","grandmother,momma,brother,momma,hand,brother,cornrows,eyes,sake,grandmother",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
4,2,Daddy,147,"influence,influence","has,enjoys,says,says,asks,say,explain,ai,says,says","told,liked,locked,include,leaves,liked,locked,include,leaves","ass,house,calls,Andre,finger,forearm,light,eyes,back,witness",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
4,4,Seven,4,,"’s,’s",,,he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
5,0,UNK,704,"serious,different,sensitive,ready,sure,little,serious,different,sensitive,ready","supposed,crying,burn,pick,peek,smirk,close,pray,nod,stay","Thank,pulls,stand,born,abducted,sees,date,drag,texted,texts","bed,hand,polo,shoulder,waffles,eyes,people,girl,name,license",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
5,10,Chris,273,"pale,horny,pale,horny","standing,looks,stretches,did,’s,bows,looks,got,looked,hated","miss,need,Beyoncé,handle,tell,compared,told,shut,Beyoncé’ing,kill","boys,hands,neck,arm,girl,nose,headphones,beats,hands,room",he/him/his,Chris,White,Adolescent,Starr's boyfriend
5,6,Hailey,206,,"’s,rests,date,turns,know,says,pouts,rests,survive,graduates","egging,date,let,dragged,born,tell,told,egging,date,let","head,hair,hair,hair,head,mouth,head,brain,hair,head",she/her,Hailey,White,Adolescent,White friend from private school
5,3,Momma,184,,"takes,rubs,says,cuss,hums,says,gets,’m,smiles,says","gotten,Call,tell,follow,hear,judge,Fix,Fix,Love,Love","cheek,Camry,scrubs,babies,food,fork,break,soda,phone,contacts",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
5,4,Seven,119,,"spent,know,come,found,gon,keeps,talks,touches,touches,wants","Help,get,signs,asked,Help,get,signs,asked","house,house,car,girlfriend,face,ponytail,eyes,program,eyes,shoulders",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
5,1,Khalil,57,,"living,got,working,opens,said,claimed,become,turn,sold,needed","orders,mentioned,let,mentioned,let","hands,momma,heart,momma,eyes,hands,hands,momma,heart,momma",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
5,2,Daddy,12,,"leads,put,says,pulls,leads,put,says,pulls",,,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
5,9,Uncle Carlos,6,,"lives,promised,do,lives,promised,do",,,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
5,7,King,4,,"starting,starting",,,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
6,0,UNK,322,"sure,okay,sure,okay","arrive,count,lose,see,realize,grabbed,take,nods,’re,sit","lead,tells,babysit,saw,told,take,gives,baiting,told,discredit","mom,I,catches,hand,lungs,lips,nerve,forehead,hand,back",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
6,1,Khalil,142,"hesitant,hesitant","saw,talked,told,have,offered,pulled,turned,approached,asked,comply","know,killed,asked,harassing,forced,pulled,yanked,patted,told,patted","grandmother,grandmother,car,number,brights,license,registration,license,registration,own",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
6,3,Momma,92,"about,about","squeezes,nods,lead,puts,taking,tells,putting,’s,has,understand","grabbed,putting,stopped,grabbed,stopped","home,squeeze,lips,child,squeeze,mouth,haircut,lips,child",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
6,9,Uncle Carlos,46,"outside,outside","comes,lead,lead,hands,has,get,says,do,says,keeps","tells,Believe,tells,Believe","desk,kids,pecks,family,desk,kids,pecks,family",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
6,2,Daddy,2,,,,,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
7,0,UNK,548,"fool,threat,one,due,fool,threat,one","’m,failing,told,’m,say,have,’m,forgive,flashed,realized","pulls,drag,guarding,reminds,miss,miss,begging,give,slows,make","hands,friend,life,elbows,belly,shirt,stomach,Lord,eye,head",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
7,9,Uncle Carlos,184,"friends,dad,friends,dad","pick,’s,signs,hold,asks,breaks,getting,loves,looks,talk","tell,calling,supposed,pass,get,get,see,saw,call,arrested","rap,yo,stare,eyebrows,rings,pocket,mouth,cheek,shoulder,message",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
7,6,Hailey,135,"racist,racist","says,’s,know,says,eyes,points,’s,hollers,snorts,gets","accuse,got,accuse,pushing","ass,girls,fingertips,eyes,God,ass,God,rages,girls,fingertips",she/her,Hailey,White,Adolescent,White friend from private school
7,10,Chris,117,"white,white","glances,made,forgive,grabbed,flashed,pull,shoot,betraying,included,whispers","allow,recording,forgive,embarrass,dating,allow,recording,forgive,embarrass,dating","mixes,phone,shoulder,willingness,stance,legs,shorts,skin,way,lips",he/him/his,Chris,White,Adolescent,Starr's boyfriend
7,1,Khalil,48,"unarmed,unarmed","died,look,look,died,look,stares,says,died,look,look","giving,shoot,know,deny,reach,denied,seen,killed,gave,giving",,he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
7,2,Daddy,12,"names,names","went,meant,went,meant","giving,giving",,they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
7,4,Seven,5,,"set,set",,,he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
7,3,Momma,4,,"raises,raises",,"voice,voice",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
8,0,UNK,284,"younger,ready,younger,ready","doubt,leave,acting,sit,did,sworn,catch,make,make,try","brought,told,watching,saw,excuse,hits,lead,tell,told,carried","family,I,parents,brothers,cheek,momma,hand,legs,eyes,parents",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
8,1,Khalil,182,"baby,crush,baby,crush","cares,’s,had,knew,wearing,had,finish,shout,celebrating,lost","see,see,see,shot,gown,join,silenced,preaches,talked,abandoned","school,face,skin,lips,head,colors,aunt,momma,grandma,grandma",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
8,3,Momma,134,"sorry,sorry","said,got,go,brought,made,told,glances,making,go,says","Thank,hear,tells,told,Excuse,Call,hear,tells,told,Excuse","cheek,eyes,hand,eyes,hands,shoulder,arm,shoulder,voice,daughter",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
8,2,Daddy,50,,"go,bet,like,wraps,walk,shakes,carried,catches,holds,says","tell,take,tell","hand,hand",they/them/their,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
8,7,King,28,,"post,has,show,swagger,go,demon,stills,turns,go,keep",,"boys,arm,boys,jaw,boys,money,head",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
8,7,King,22,,"post,has,swagger,go,stills,turns,go,keep,told,’s",loves,"boys,arm,boys,boys,money",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
8,4,Seven,25,"part,part","turns,take,shakes,come,’s,thinks,turns,shakes,come,’s","shakes,treats,take,shakes,treats",,she/her,Seven Carter,Black,Adolescent,Starr's younger brother
9,0,UNK,740,"short,afraid,sure,okay,crazy,glad,petty,stubborn,okay,short","bring,used,grab,head,feed,eat,’m,feel,apologize,let","called,tore,call,stop,call,sends,pulls,remind,kill,stopped","brothers,plate,Momma,lap,fingers,roast,stomach,neighborhood,family,fault",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
9,3,Momma,363,"scared,parent,determined,scared,parent,determined","say,snaps,says,says,breaks,turning,has,turns,comes,check","grab,tells,pulls,see,get,hand,hand,let,grown,again—“looked","sofa,fingers,furniture,lap,fingers,thigh,phone,voice,hand,head",she/her,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
9,10,Chris,215,"mad,kind,okay,mad,kind","’m,know,drools,lives,does,’s,smiles,washing,saw,says","avoiding,Beyoncé’ing,dare,kiss,touch,tell,tell,ignoring,told,tell","cars,top,eyebrows,arms,hands,pockets,life,lip,shrugs,hand",he/him/his,Chris,White,Adolescent,Starr's boyfriend
9,4,Seven,182,"lucky,lucky","puts,says,gets,acts,’s,turns,says,said,stay,bangs","sends,ask,got,tells,motions,put,sends,ask,tells,Tell","fist,hands,hand,two,hands,momma,sister,hands,pockets,shrugs",he/him/his,Seven Carter,Black,Adolescent,Starr's younger brother
9,2,Daddy,120,,"leaves,calls,says,comes,says,runs,know,understand,dread,reaches","knowing,Tell,knowing","hand,face,lap,arms,window,face,legs,roses,hand,face",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
9,9,Uncle Carlos,58,,"checks,going,meets,loves,kisses,asks,says,cook,pops,’s",killed,"collar,house,collar,house",he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
9,1,Khalil,44,"dealer,dealer","died,got,died,had,said,say,mention,deserve,died,got","asked,killed,asked,killed","funeral,picture,hands,face,funeral,picture,hands,face",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
9,5,DeVante,36,,"’s,kicks,’m,wants,’s,looks,licks,heard,licking,kicks",named,"fist,lips,lips,momma,fist",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
9,7,King,5,daddy,"slaps,asks,’s",,boys,he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
9,6,Hailey,2,,,,,they/them/their,Hailey,White,Adolescent,White friend from private school
10,2,Daddy,371,"serious,silent,younger,good,serious,silent,younger,good","comes,knocks,smiles,fades,taps,get,need,needed,like,asks","told,supposed,join,stick,shot,caught,told,done,let,supposed","girls,Potter,age,age,girl,eyes,baby,baby,gaze,office",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
10,0,UNK,290,"tired,baby,tired,baby","swallow,grab,try,filled,’m,lost,pisses,do,beg,laugh","pisses,fed,censor,hits,knowing,snatched,notices,says,showing,pisses","heart,handle,cheek,eyes,window,shoulder,daddy,man,head,chin—“but",he/him/his,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
10,5,DeVante,188,"quiet,alive,quiet,alive","says,comes,has,mean,gives,passes,glances,looks,glances,notices","watching,motions,stick,tells,studying,ask,help,got,punch,show","puff,hair,eyes,voice,neck,minutes,Chucks,brother,pops,eyes",he/him/his,DeVante,Black,Adult,Member of the King Lords gang
10,1,Khalil,58,"dealer,dealer,dealer,dealer","lost,lost,told,thought,said,died,said,got,have,’s","judge,knowing,showing,help,mean,judge,knowing,showing,help,mean","life,situation,shoes,situation,life,situation,shoes,situation",he/him/his,Khalil Harris,Black,Adolescent,Childhood friend shot by police
10,7,King,46,"crown,boy,man,crown,boy","says,knew,took,busted,had,meant,sound,missed,told,agreed","wish,show,hiring,Show,wish,show,hiring,Show","boys,boys",he/him/his,King,Black,Adult,Friend and leader of the Garden Heights neighborhood
10,3,Momma,29,"tired,tired","glances,cups,says,rolls,asks,says,have,got,did,have","asks,asks","brother,brother",they/them/their,Lisa Carter,Black,Adult,"Starr's mother, works as a nurse"
10,9,Uncle Carlos,7,,"became,became",,,he/him/his,Uncle Carlos,Black,Adult,"Maverick's brother, a police officer"
11,0,UNK,447,"ones,straight,coward,ones,straight,coward","know,step,find,get,have,’m,say,pass,live,toss","find,Leave,throw,tell,kill,follow,told,stop,supposed,dropped","phone,heart,rules,backpack,seat,Starr,aisle,nose,mouth,desk",they/them/their,Starr Carter,Black,Adolescent,"Protagonist and narrator, torn between two worlds"
11,2,Daddy,297,,"stands,holds,says,heard,says,tell,saw,tells,told,prays","help,kill,get,harassing,asks,take,bought,lowers,tells,checks","name,live,boys,hands,hands,pockets,sides,ID,pocket,eyes",he/him/his,Maverick Carter,Black,Adult,"Starr's father, former gang member, runs a store"
